shirtNumber,name,goals
4,Luka Milivojevic,11
11,Wilfried Zaha,9
10,Andros Townsend,8
3,Patrick van Aanholt,3
5,James Tomkins,2
29,Aaron Wan-Bissaka,1
23,Michy Batshuayi,3
